 , wngo**** , 여전히 자신의 심리적 고통에만 몰두하고 이민을 가서”살려고” 생각중인 친구라 생각했던 그 A씨의 잔인함과 후안무치함에 말문이 막힙니다부검대에 올라야 했던 정민이, 그리고 오히려 합리적 의심을 하는 부모님과 사람들을 이상한 “넘겨짚기 사람들”이라고 은근히 기사를 쓰는 언론들, 경찰 조사에는 등재되지 않은 멋대로 늘린 술병의 수를 기사에 적어놓고 소스는 알 수 없다 하는 언론인의 양심마저 저버린 “sbs 모 기자아버님, 아버님이 하시는 합리적 의심이 본인의 인정에 의한 잘못된 판단이라고 생각되실까봐 걱정이라 하셨는데 절대 아닙니다. , 42 , 3 , Sun May 16 00:24:19 KST 2021 
 , mans**** , 서초경찰서 앞에가서 하세요. 담당형사 이름 부르면 최고의 효과를 볼겁니다. , 38 , 0 , Sun May 16 00:24:19 KST 2021 
 , chj6**** , 지방에 살아서 가고 싶어도 못가는 마음이 전해지길 바랍니다.요즘 이나라에 사는게 옳은일인지...정의가 살아있는건지..너무 혼란스럽습니다ㅠㅠ , 35 , 0 , Sun May 16 00:24:19 KST 2021 
 , min0**** , 엄청 열심히 수사하는척 한강에 핸드폰 수색하는 보여주기식 진짜 분노가 치밀어오른다. A가 한강에다가 지 핸드폰 버렸다던?? 진짜 도대체 뭐하는건지 모르겠다. 그리고 국민청원 40만이 넘었다. 공개안하고 뭐하냐. , 34 , 0 , Sun May 16 00:24:19 KST 2021 
 , wopa**** , 최순실 사건 때는 수도 없이 공소사실 유포하고 그랬잖아요? 이건 지금의 독재권럭이 앞으로 자기편 비리는 조금도 새나가면 안된다는 엄포네요. 더 구린 것들이 적폐 운운해대니 가괸입니다 , 175 , 26 , Sun May 16 00:24:46 KST 2021 
 , pbk6**** , 국익을 따져보면,.박정희대통령 박근혜대통령이 낫다 공감ㆍ 노무현 문재인이 낫다 비공감 , 161 , 39 , Sun May 16 00:24:46 KST 2021 
 , casi**** , 이성윤이 직무배제와 구속수사가 선행되고 공소장 유출을 조사 하든지~~ 물타기 그만하고 똑바로 수사해라~~법무장관 박 거시기야 , 79 , 9 , Sun May 16 00:24:46 KST 2021 
 , powe**** , YTN기사자체가좌편향적이라....내용의본질을빗겨가고...너희채널도빗겨갈랜다 , 31 , 8 , Sun May 16 00:24:46 KST 2021 
 , maum**** , 알아서 뭐하게~죄값이나 받아라 ㅋ , 15 , 3 , Sun May 16 00:24:46 KST 2021 
 , lim7**** , 언론과 유착해...몰래빼주구 댓가받은 놈이 있겠지????과거에도..검찰수사과정이 실시간으로 생중계되는것같드만????아닌감???? , 6 , 1 , Sun May 16 00:24:46 KST 2021 
 , naks**** , 수원지검이 서울지법에 기소한걸 박범계법무장관 은 잘못됬다고 억지춘향식이다 말하는데 형사소송법도모르는 소리라고 법률가도 법지식 조금만 있어도 아는것이라고 한다. 형사소송법대로 한것인데도 이성윤지키기에 박범계가 나서고 있다. 부하들에게 기소된 검사장을 업무배제도 안하고 있고 한동훈은 혐의만으로도 업무배제. 좌천시키는건 내로남불이다.. , 6 , 3 , Sun May 16 00:24:47 KST 2021 
 , aahj**** , 김학의강간범죄본질은덮고해외도피잡은것잘못됬다고기소한것만쟁점화한다는것이 맞나싶네. 거기에 보수개종자들이 언론과함께 이성윤한테악질적인 만행에 치가떨린다 , 5 , 2 , Sun May 16 00:24:47 KST 2021 
 , sejo**** , 국민은......어떤 사실이 알려지면 국가 존망이 위태로운 일이 아닌한 모든 정보를 알 권리가 있다. 언론은 그런 국민을 위해 무슨 수를 써서라도 알권리를 충족시켜야 존립 이유가 있는 것이고......정부는 제놈들 비리가 탄로날까봐 당정청이 합심해 감추는데 급급해 있다. , 5 , 2 , Sun May 16 00:24:47 KST 2021 
 , lee0**** , 박범ᆢ개ᆢᆢ개ᆢᆢ개ᆢᆢ만약임은정이가유출했음 괜찮은거지ᆢᆢ니들편이니까ᆢ 진짜ᆢᆢ어쩜 ᆢ이리도 치졸하냐 , 5 , 2 , Sun May 16 00:24:47 KST 2021 
 , alsd**** , 범계야 쏘크라테스 말을 빌리면 니 니 꼬라지를 알라. 공소장 유출이 뭐가 중요하냐?국민은 알아야 하는 데 권력을 이용해 자꾸 숨기려니 그렇지.더듬당과 문죄인 청와대가 개판인데 그걸 숨기려고 그러냐? , 4 , 2 , Sun May 16 00:24:47 KST 2021 
 , lim5**** , 멋진 나라야.아 성검사 김학의 출금은 불법이고 이거 언론에 갖다바친 건 정의고 합법이구나. 에라이 똥물에 튀겨먹은 검새들아! 이 나라가 검새놈과 기레기놈의 나라냐? , 3 , 1 , Sun May 16 00:24:47 KST 2021 
 , saro**** , 피의사실공표도 국민의 알권리 라던 사람이 이제와서? , 3 , 1 , Sun May 16 00:24:47 KST 2021 
 , mhyu**** , 배 보다 배꼽디 더 크네, 범죄자 보다는 공소사실 유출자를 범죄자로 만드는 법무부, , 3 , 1 , Sun May 16 00:24:47 KST 2021 
 , song**** , 검언 유착 하는 넘들 색출 합시다. 정치검찰 out , 2 , 0 , Sun May 16 00:24:47 KST 2021 
 , wjda**** , 정윤회 게이트 터지니 문건유출로 본질 흐리던 박그네정부가 떠오르네 왜 전정권의 악습을 계속 답습하는거냐? , 2 , 0 , Sun May 16 00:24:47 KST 2021 
 , play**** , 검찰이 공소장을 내부 인터넷망에 올리면 검찰청 직원들 모두 볼 수 있는 거 아닌가? 법원에 제출했다면 판사들도 볼 수 있고. 수사 뭉개지 말고 독려나 해라. , 2 , 0 , Sun May 16 00:24:47 KST 2021 
 , icep**** , 검언 유착이 어제 오늘 이야기인가?이제 그러느니 한다 말하면 입만 아프다. , 2 , 0 , Sun May 16 00:24:47 KST 2021 
 , sigc**** , 도둑놈이라고 소리친 사람 잡지말고 제발 부탁인데 도둑놈 잡아라. 공정한 국가 먼 훗날 이야기냐? , 2 , 0 , Sun May 16 00:24:47 KST 2021 
 , mir3**** , 재미있는건 모두 조 중 동 이 제일먼저 알린다는것... 그리고 이런기사는 모두 조용하다는것... 선택적 언론 선택적 분노.. 전세계 언론 신뢰도 최하위 그래도 잘살면 그만인 대한민국 언론 누가 바꾸실겁니까? , 5 , 4 , Sun May 16 00:24:47 KST 2021 
 , 1018**** , 어휴 정말 환장하겠네! 경찰아 친구 a에게 물어보면 될걸 뭐하고 있냐? 신발도 버리고, 휴대폰도 버리고, 친구도 버리고, 끝까지 지켜볼란다~~~ , 1877 , 34 , Sun May 16 00:27:28 KST 2021 
 , medl**** , 마지막까지 같이 있던 친구가 정직하게 다 얘기해주면 다 해결될 일인데.. 왜 최면조사는 안 받고, 거짓말을 해서.. 무슨 일이 있었는지 모르겠지만.. 이제라도 전부 다 솔직하게 얘기하고 잘못한 행동에 책임지고, 죽은 친구 가족에게 진심으로 사과하기를... 그래야 본인도 살아갈 거에요. 부끄럽지 않게 , 795 , 22 , Sun May 16 00:27:28 KST 2021 
 , lotu**** , 손정민의 사망 원인이 익사로 추정되며 머리 부위에서 상처가 발견됐지만 사인을 고려할 정도가 아니라고 부검 결과를 밝혔다. 하지만 여전히 손씨가 실종된 지난달 25일 오전 3시38분부터 오전 4시20분쯤 사이 행적이 묘연해 그의 사인과 진상 규명에 대한 목소리가 높아지고 있다. 그래 그러면 경찰들아 왜 익사이며 의문점이 1000가지 나온데에 해명해라 그러면 믿어주지 그런데 국민들은 안 믿을걸? 의심이 많이 나오잖아~~ , 485 , 34 , Sun May 16 00:27:28 KST 2021 
 , free**** , 순진한거예요?모자라는거예요?그 동석자 휴대폰이 아무리 찾아도 나오겠어요?우발을 가장한 계획적인 범행인데 휴대폰 감쪽 같이 없애버리고 그날로 바로 개통했는데~~아무리 찾아도 안나올꺼니 헛수고들 하지말고 그 에너지를 네티즌들이 제기하는 의혹들에 대해서 밝혀주시기를!!!방구석코난이라 비난하지말고 경찰은 국민의 관심이집중되어있는정민군 사망사건을 철저하게 파헤쳐주시기를 , 327 , 5 , Sun May 16 00:27:28 KST 2021 
 , drag**** , 마지막으로 남은 것은 42분의 영상입니다. 이 영상으로 모든 게 밝혀질 겁니다. 많은 국민들이 관심을 갖고 지켜보고 있으니 경찰은 집중적으로 투철하게 조사하기 바랍니다. , 297 , 11 , Sun May 16 00:27:28 KST 2021 
 , jns0**** , 아이폰 수색 중단하세요개고생하지들마시고요 , 199 , 14 , Sun May 16 00:27:28 KST 2021 
 , phy0**** , 왜 자꾸 바뀐 휴대폰이라 하는거죠? 훔친 휴대폰 아닌가요? , 168 , 1 , Sun May 16 00:27:28 KST 2021 
 , asia**** , 마녀사냥은 안 되나 마녀처럼 행동했고 댓글알바까지 푸는거 보면 허위 목격자는 일도 아닐 듯 1.2시50분 사진은 떡실신인데 3시 37분 앉아 있었다->3시30분 깨워도 안 일어난다는 A 통화 진술과 배치로 둘중 하나는 거짓말 2.4시 20분 A 물가 목격도 4시 22분 택시 승강장 부근 cctv 목격과 큰 차이 3.4시20분 목격이 사실에 식구들 다 데리고 나올 정성이면 이때 정민 소재를 묻고 찾았어야 함 4.정민폰도 지가 빼가 놓고 바꿔 갔다하고 자기폰은 유기 후 오리발(7시쯤 강북서 신호 끊겼다 하니 정민이 가져간 건 아님) , 162 , 5 , Sun May 16 00:27:28 KST 2021 
 , flor**** , 친구놈이 증거를 은폐하고 사실을 밝히지 않아서 도대체 몇사람이 생고생을 하는건가? !!! , 118 , 1 , Sun May 16 00:27:28 KST 2021 
 , sara**** , 안버리고 a집에 있을 수도. , 104 , 0 , Sun May 16 00:27:28 KST 2021 
 , dmsg**** , 범죄 혐의를 받고 수상한 사람들이, 자신이 휴대폰을 버린 곳을 이실직고할까요? 정말 이게 대한민국의 현실인가요? 검찰 조사 하루만 받게 해 보시기 바랍니다. 친구, 엄마, 아빠에 대해 추궁을 통해서, 진술의 일치하지 않는 점 발견해서, 이를 집중적으로 파고 들면, 사건의 전모가 밝혀집니다. 모르고 안하는 겁니까? 아님 이들이 특권자들입니까? 대한민국이 사막국가가 아닌게 다행입니다. 사막에서 휴대폰 찾으려고 하는 모습 그려집니다. , 99 , 0 , Sun May 16 00:27:28 KST 2021 
 , poli**** , 전) 서장 외삼촌의 적절한 코치로 인하여 종량제 쓰레기봉투에 여러겹으로 넣어 버렸거나 집 근처 관찰이 용이한 곳에 (깊숙히) 유기했을 가능성이 높다. 애초에 거짓말탐지기도 안하고, 통화 내역 조사도 안하고 진술청취만 했는데 용의자 가족 말만 믿고 한강 바닥을 수색하기에는 무리가 있었다. , 95 , 0 , Sun May 16 00:27:28 KST 2021 
 , kang**** , 방파제 같은 곳이라면 실족이 이해가 가지만 저런곳에서 물에 빠지려면 실족을 몇 번을 해야 할까? 물에 빠지기전에 돌부리에 얼굴부터 박살나겠다..... , 79 , 0 , Sun May 16 00:27:28 KST 2021 
 , enrk**** , 꼭 강물에 밀어버리고 칼로 찔러야 살인인가..도의적인 책임이 란게 있지 그 추운날 지는 따숩게 점퍼입고 얇은옷입고 쓰러져있는 걸 보고도 방치하다시피라니..3시반에 부모한테 전화할 정신 있으면 당연히 정민씨집에 전화했어야지. 그저 손절하고 나몰라라 급급하니 참 친구라는 말이 아깝다 , 77 , 3 , Sun May 16 00:27:28 KST 2021 
 , hkhh**** , 빨리 그것이 알고싶다프로그램에서 요번 정민이사건티브로 방영해주었으면좋겠어요증거인멸을 하고 있으니시민으로써 걱정됩니다혹시라도 힘없는 국민들이억울한일을 당하면 돈과힘앞에속수무책으로 당해야하는 이현실과 이나라에서 앞으로 우리 아이들이 살아가야한다고 생각하니막막하기만합니다우리엄마들이 우스게 소리로하는말이 있어요이세상 편하게 살려면집안에 의사.변호사.경찰만 있으니만사ok이라고 이번 상황만봐도딱 들어맞는것 같네요한점에 의혹도 없이 진실을밝힐수 있도록 계속해서 국민들께서관심을가져주세요 , 73 , 1 , Sun May 16 00:27:28 KST 2021 
 , hsm1**** , 25일.새벽에 접촉사고 낸 차량이 BMW .차주가 최변호사인지? 맨발이었는지? 6대의 경찰차가 출동한 이유(낚시꾼이 봄) 일부러 후진해서 사고내고 경찰 출동시켰다고 하는데,그것만이라도 서초경찰서가 해명하면 단서 잡힐 듯.단순 접축사고인데 왜 여러경찰이 수색까지 했는지가 의문입니다. , 72 , 1 , Sun May 16 00:27:28 KST 2021 
 , kjg6**** , 휴대전화가 없다는건 고의로 증거물을 현장외지역에 버린것임.스스로 물속으로 자살은 절대 아닐꺼 , 65 , 0 , Sun May 16 00:27:29 KST 2021 
 , nam1**** , 이준서 휴대폰은 이준서가 가지고 있겠지~~ , 63 , 3 , Sun May 16 00:27:29 KST 2021 
 , jin1**** , 아무덧도 안하고 꼬챙이로 물만 쑤시고잇네 ㅋㅋㅋㅋ 아니 누가 수사를 저따구로해^^ 블랙박스랑 씨씨티비랑 증거다있는대 , 59 , 1 , Sun May 16 00:27:29 KST 2021 
 , kang**** , 이용구 택시기사 폭행 의혹 사건....."못본걸로 하겠다" 누가 한말인지....진상규명 언제 하나? 수상택시 승강장 근처에서....실종자 발견 하는데....5일 이나 걸린 이유가 뭔가? , 56 , 2 , Sun May 16 00:27:29 KST 2021 
